epsilon,beta0,beta1
2.97978094987646,4,58
2.99397038297111,4,58
3.00815981606576,4,40
3.0223492491604094,4,40
3.0365386822550593,4,40
3.0507281153497092,4,40
3.064917548444359,4,40
3.0791069815390086,4,40
3.0932964146336586,4,40
3.1074858477283085,4,40
3.1216752808229584,4,40
3.135864713917608,4,40
3.150054147012258,4,40
3.1642435801069078,3,15
3.1784330132015572,3,15
3.192622446296207,3,15
3.206811879390857,3,15
3.221001312485507,3,15
3.2351907455801565,3,15
3.2493801786748064,3,15
3.2635696117694564,3,15
3.2777590448641063,3,15
3.291948477958756,3,15
3.3061379110534057,3,15
3.3203273441480556,3,12
3.3345167772427056,3,12
3.348706210337355,3,12
3.362895643432005,3,12
3.377085076526655,3,12
3.391274509621305,3,12
3.4054639427159543,3,12
3.4196533758106042,3,12
3.433842808905254,3,12
3.4480322419999037,3,12
3.4622216750945536,3,12
3.4764111081892035,2,6
3.4906005412838534,2,6
3.504789974378503,2,6
3.518979407473153,2,6
3.533168840567803,2,6
3.5473582736624527,2,6
3.561547706757102,2,6
3.575737139851752,2,6
3.589926572946402,2,6
3.604116006041052,2,6
3.6183054391357015,2,5
3.6324948722303514,2,5
3.6466843053250013,2,5
3.660873738419651,2,5
3.6750631715143007,2,5
3.6892526046089507,2,5
3.7034420377036006,2,5
3.71763147079825,2,5
3.7318209038929,2,5
3.74601033698755,2,0
3.7601997700822,2,0
3.7743892031768493,2,0
3.7885786362714993,2,0
3.802768069366149,2,0
3.816957502460799,2,0
3.8311469355554486,2,0
3.8453363686500985,2,0
3.8595258017447485,2,0
3.873715234839398,2,0
3.887904667934048,2,0
3.902094101028698,2,0
3.9162835341233477,2,0
3.930472967217997,2,0
3.944662400312647,2,0
3.958851833407297,2,0
3.973041266501947,2,0
3.9872306995965965,2,0
4.001420132691247,2,0
4.015609565785896,2,0
4.029798998880546,2,0
4.043988431975196,2,0
4.058177865069846,2,0
4.072367298164496,2,0
4.0865567312591455,2,0
4.1007461643537955,2,0
4.1149355974484445,2,0
4.129125030543094,2,0
4.143314463637744,2,0
4.157503896732394,2,0
4.171693329827044,2,0
4.185882762921694,2,0
4.200072196016344,2,0
4.214261629110994,2,0
4.228451062205643,2,0
4.242640495300293,1,0
